image_id,healthy,multiple_diseases,rust,scab
Test_0,1.0221579316294083e-07,3.372539367774152e-06,0.999996542930603,3.019678374016621e-08
Test_1,7.955099135870114e-05,0.005424055736511946,0.9944530129432678,4.341241583460942e-05
Test_2,2.823377940330829e-07,3.113211050731479e-06,3.0554772934010543e-08,0.999996542930603
Test_3,0.9918299317359924,6.29714395472547e-06,0.0081345709040761,2.916260746133048e-05
Test_4,3.8808942917967215e-05,0.001483223750256002,0.9984415173530579,3.639568967628293e-05
Test_5,0.998755931854248,7.55465152906254e-05,0.0009411047794856131,0.00022739566338714212
Test_6,0.9956656098365784,0.0006257088389247656,0.003014588262885809,0.0006940826424397528
Test_7,0.05907968059182167,0.00041413764120079577,0.0026486474089324474,0.937857449054718
Test_8,0.00848611630499363,0.2998730540275574,0.6880903840065002,0.003550491062924266
Test_9,7.076276915540802e-07,0.00026726306532509625,0.9997298121452332,2.087272832795861e-06
Test_10,4.379599886306096e-06,9.927547216648236e-05,0.999894380569458,1.919197075039847e-06
Test_11,0.9866852760314941,0.0008887965814210474,0.010878361761569977,0.0015475887339562178
Test_12,0.04189476743340492,0.22117310762405396,1.8954120605485514e-05,0.7369131445884705
Test_13,0.9944581985473633,0.0019864991772919893,0.003179502207785845,0.0003757966624107212
Test_14,0.0056337108835577965,0.010190904140472412,0.9838737845420837,0.00030161970062181354
Test_15,0.001394282910041511,0.010936868377029896,0.9871783256530762,0.000490513863041997
Test_16,0.9992037415504456,1.1940730473725125e-05,0.0007579230586998165,2.6458288630237803e-05
Test_17,0.0005827737622894347,0.018017305061221123,0.002903978805989027,0.9784960150718689
Test_18,0.0007476917235180736,0.0064332326874136925,0.002243554452434182,0.9905755519866943
Test_19,3.302944029393018e-11,6.264970693337091e-07,0.9999994039535522,7.808527158204015e-09
Test_20,0.004208059515804052,0.005060173571109772,0.00017074453353416175,0.9905610680580139
Test_21,0.9992135763168335,5.130414706400188e-07,0.00027620760374702513,0.0005096598761156201
Test_22,0.0003554794820956886,0.013023742474615574,0.986596405506134,2.4393157218582928e-05
Test_23,2.462802967784228e-06,2.1432095309137367e-05,3.866102815663908e-06,0.9999722242355347
Test_24,0.9927531480789185,0.0035103331319987774,0.0017853006720542908,0.0019511774880811572
Test_25,7.205888687167317e-05,9.033478272613138e-05,0.00024962457246147096,0.9995879530906677
Test_26,1.969772347365506e-05,0.00047790235839784145,1.4189145986165386e-05,0.9994882345199585
Test_27,3.972334017277035e-09,5.585402959695784e-06,0.9999943971633911,1.7249636385940903e-08
Test_28,0.9999154806137085,3.6938258745067287e-06,2.4739398213569075e-05,5.6077329645631835e-05
Test_29,0.03304397687315941,0.9335336089134216,0.030387168750166893,0.0030351709574460983
Test_30,0.9996069073677063,0.0001580774551257491,0.00018156417354475707,5.338755727279931e-05
Test_31,0.00036740643554367125,0.11783398687839508,0.8817805647850037,1.8026399629889056e-05
Test_32,0.26576822996139526,0.1045789048075676,0.3174818158149719,0.312171071767807
Test_33,0.002257729647681117,0.006989339832216501,0.00043451631790958345,0.9903184175491333
Test_34,0.0029701008461415768,0.006566778756678104,0.0003741405380424112,0.990088939666748
Test_35,8.129030902637169e-06,0.00016225797298830003,3.209021087968722e-06,0.9998264908790588
Test_36,4.147075014770962e-05,0.0011102943681180477,0.9987443685531616,0.00010384662891738117
Test_37,0.052824780344963074,0.04722427949309349,0.00023232089006341994,0.8997185826301575
Test_38,3.1665369988331804e-06,0.005188199691474438,1.1322494174237363e-05,0.9947972893714905
Test_39,3.3465707929281052e-06,1.6144975916176918e-06,0.9999924898147583,2.464039425831288e-06
Test_40,7.250509970191388e-09,1.0380574167356826e-05,0.9999896287918091,5.665152968958864e-08
Test_41,9.036056347611066e-09,5.503883585333824e-06,0.9999945163726807,1.2465981580334073e-09
Test_42,0.0027902477886527777,0.05873952805995941,0.00017740951443556696,0.9382928013801575
Test_43,0.003190761199221015,0.0019592344760894775,0.9948452711105347,4.732531579065835e-06
Test_44,0.920627236366272,0.00046301467227749527,0.015666482970118523,0.06324328482151031
Test_45,0.28773900866508484,0.30658164620399475,0.004674764350056648,0.4010046124458313
Test_46,0.5022478103637695,0.11096829921007156,0.0003431426885072142,0.38644078373908997
Test_47,0.00012728835281450301,0.23923277854919434,0.7580069303512573,0.002632943680509925
Test_48,4.0987913962453604e-05,0.002964005572721362,0.9969724416732788,2.259771281387657e-05
